,attachment_id,text,label_encoded,split
0,df5b08f0-41d1-4572-889c-8b893e71069b,А,0,test
1,3d2b6a08-131d-40a9-9533-cf45cefb07fd,А,0,train
2,1915f996-71ed-44ae-9a34-ee1959919238,А,0,val
3,bfb2d7ae-0f6c-4e20-b087-0965641d34ff,А,0,test
4,24936cc5-e5bb-43a3-96b8-2a9b4a6d157f,А,0,test
5,52a31867-5661-4a33-aeea-416fedc8b029,А,0,test
6,89a6ed0c-490f-4679-af7e-9f9f1e9b619c,А,0,train
7,b20b8829-b443-45e8-8ae0-5a9652ccfdf7,А,0,test
8,3a6e0307-e80c-4101-b3ed-1075070ba27a,А,0,test
9,cd31a981-0638-4ac3-bcdd-3cacf724c827,А,0,test
10,46b8313e-8281-41ad-8d01-29c8a49bfbf5,А,0,test
11,77c27327-5808-43c1-a517-75790b7c67d0,А,0,val
12,ebc54c26-7625-4f84-bc09-8e770ee2bd0b,А,0,test
13,c727cc70-3f30-4426-8956-55514f0af3e4,А,0,test
14,521811f2-a8e4-4ebb-981f-bd3328088f62,А,0,test
15,cb6151a7-7004-4c28-a71f-e8fd4872f5c1,А,0,train
16,cdff61a5-06fc-425c-9cbd-72e532015e2f,А,0,train
17,613ed2b8-c894-427f-b0ef-3e8872609c76,А,0,test
18,dd938a9c-1dd4-4453-9633-e9e33423917f,А,0,test
19,6dd5fe9b-ae33-4212-8d6c-7cf42f76dd81,А,0,test
20,6479fe6c-ed67-49f6-bd13-a7b472911729,А,0,val
21,50a13a36-f4ff-42a9-af30-7693b64b2685,А,0,train
22,370005c9-dd81-4337-82be-08be228e3e48,А,0,train
23,83acfcc4-8122-4548-be09-ca9212fc528d,А,0,test
24,8ea29713-6375-40a7-898e-7c6a82ce5fe6,А,0,train
25,3b02ff8b-999f-43ad-a933-ee89a4b69e9d,А,0,train
26,39455eeb-68c1-4822-923a-2b2db6b50feb,А,0,train
27,fbe2c596-75a9-43d4-b9a9-4ac608270200,А,0,train
28,7ab8db58-2867-4def-a7b3-536441be07a9,А,0,train
29,2b7a452b-a739-44d6-9c76-7562bcae7abd,А,0,train
30,11d6eaff-5214-4bde-8aa8-c28c5a848c1f,А,0,train
31,91292fa3-a37f-4d18-a8ae-44aa8205dbdb,А,0,train
32,9d73e601-15eb-4c62-9684-4f809a804696,А,0,train
33,c8c6761f-7d65-4c2c-bf3c-df1dedad3b24,А,0,train
34,043b0357-a403-483c-836d-31bba541cbb2,А,0,val
35,354173d4-4ec9-4657-a3c3-2aa4cee97c54,А,0,train
36,4e94494e-0a83-417c-a8f8-7dcb4ed9c7e6,А,0,train
37,0527f583-ed98-43e5-a70a-0b988eb5b5b5,А,0,train
38,bf8aabeb-14c9-49ab-8e05-f9e3edc32d29,А,0,train
39,bc9b11de-6c79-487a-818e-d5e9e331cc3c,А,0,train
40,147dcd9c-8540-4f38-8949-97bd9012d643,А,0,train
41,1416787d-032d-4d48-89da-a14e4791b5da,А,0,train
42,ccfdf35c-879e-4431-860e-0effc15f61a2,А,0,train
43,55aaa1e1-6379-49d6-9b9a-49fe5bb3a6e5,А,0,train
44,75674719-c859-4b2c-ba50-d3677de7d3fc,А,0,train
45,b58d2903-982a-4981-a1ff-630879c7873d,А,0,train
46,2a12723a-1c35-4796-8387-1abbd23632a3,А,0,train
47,5f421023-c1e7-4834-9ada-13ebcd9d0686,А,0,train
48,0e63db46-2cb6-4071-b5ad-e30e0e174183,А,0,train
49,a590870e-0d34-4733-a722-7ad3059acc00,А,0,train
50,30086a99-d588-4384-b3f4-a598f9f68c4b,А,0,train
51,7d378997-e337-40d0-b055-287b1beed7c6,А,0,train
52,beb8ad0f-1985-4566-a557-1d5d112b4323,А,0,train
53,b16243d5-9c6e-4027-ade4-88f4facbc9fe,А,0,train
54,5ef7aca4-09ef-41e4-8a8c-96b2a21e7d4f,А,0,train
55,bbfa2d8c-07cc-48ac-b112-b2c89703349e,А,0,train
56,673337cc-39d9-4af2-921f-2a288610d19d,А,0,train
57,581bd8c8-9615-42d1-84eb-a4bad6f8fab4,А,0,train
58,c83073db-4afa-4779-a16b-6acbfdd95f45,А,0,train
59,6d025dd9-d63d-409e-ad00-d8ebb0d460be,А,0,train
60,03418eff-468d-46f9-9983-d8310c58ba04,А,0,train
61,8d9ecd4e-8915-4582-b93e-78ab50389f78,А,0,train
62,90417a43b96b79277c73542f36c41f59,А,0,val
63,a2f2d58719411705301787caba0f2e97,А,0,train
64,2ebc2d6456459ce8122a05f1fd9bef06,А,0,train
65,58ef52b542bd3d698669674732f94790,А,0,train
66,3e8b308be4f600cf5ab9d4e846c0541f,А,0,train
67,d230965a0bdac7afb1becef8d29fc9e0,А,0,val
68,c5529adfa4f7f31f0c15a4a2407afb09,А,0,val
69,259d831dcd402770830437e891733ebc,А,0,train
70,5cb88e8f3a059f66c7a67a6a44f53691,А,0,train
71,f7f4f624a0e2ba88bde9372767082350,А,0,train
72,85688b5c1a80ffcb830c1c94e166725a,А,0,train
73,108d81c9845bf07e2cb41be878147429,А,0,val
74,2620a0fbaabe360856000ccfb702bbe3,А,0,train
75,55c8fe8abb44fc2e20a58ad94f776f1e,А,0,train
76,6d963a744c2d67e3ca21c7dd12734e2b,А,0,train
77,046665aed5a4536773266f0c39c8d03e,А,0,val
78,2e0b298e12ae48f7722a3db057c44f48,А,0,train
79,cb872cac7fcdbe188412fc69804ff6e2,А,0,train
80,99d4d538-a083-4414-8cfb-f4ddf9435401,А,0,val
81,18c6c316-7269-4d52-9837-a394f3b8f974,А,0,val
82,fa9ab207-c3bc-4338-aba0-a5505b107945,А,0,train
83,5c95bed4-10b6-4056-b8c8-378cca4f2133,А,0,train
84,61b8a0f2-9d33-4321-98b8-0eff2360b8fe,А,0,train
85,84b06377-9c6a-40c6-a208-0715c6ba2292,А,0,train
86,04df97a2-bd85-4733-a8c1-31640e9e4f23,А,0,train
87,7ce58e5c-dec5-465b-b617-6ebe8d0c12d5,А,0,val
88,47ebce83-c276-4043-a726-157752395ec0,А,0,train
89,fa113622-3986-4df8-ad6b-f497a5197a07,А,0,train
90,12358e97-15d5-44f7-9bc8-bfcfabcc16fa,А,0,val
91,5010e6c3-10cc-4760-8573-79e74acd12e2,А,0,train
92,860ad986-2e85-4247-9b6b-99d120feb2af,А,0,train
93,1f1a0f57-10f7-4d83-8d4b-04247ec1e243,А,0,val
94,7fa2145b-c187-47ae-bdcc-12e0d3238a3e,А,0,train
95,837b8591-91d1-40ba-9d31-8bcb01cd1180,А,0,train
96,1c7e6cad-b514-4fb6-9d4d-2db88b9357f6,А,0,train
97,1493aea4-eb27-4300-9b9e-9bcb32dbe29d,А,0,test
98,cd27bdc9-4f86-4258-abbc-45e0135e644a,А,0,train
99,bd5704a0-0905-488a-85c9-252e04288982,А,0,train
100,c8e2914e-03ca-41c0-8fb7-60c5019b07a5,А,0,test
101,9996a3fe-81f7-4088-b44c-68a34b1e0fba,А,0,train
102,4d8c5d92-17c9-4cb3-8df8-b943df02b388,А,0,test
103,46ba17ed-6fae-4284-93e0-fb1ad9615e0e,А,0,train
104,9fcd2760-5759-4c43-a83c-5e1ae4dcbad6,А,0,val
105,b6c4239a-8f5a-467b-9509-7879ea8dc855,А,0,train
106,e7138da6-d1d6-4673-afda-4e95f82f49f4,А,0,train
107,63f519fb-801a-4cea-8616-15de097506f2,А,0,train
108,8c990ed4-991d-4e9f-baa6-5ee1d67fbb3e,А,0,train
109,e16b7745-5072-4945-9660-41262d7dcb91,А,0,train
110,c61c7bb8-9a86-4363-9f0a-ff429d9fd5f5,А,0,train
111,68dc8848-3e53-42f5-b9a9-ae4b7eef4029,А,0,train
112,9808c137-6b17-488f-b963-620050a4de73,А,0,train
113,03a4b0ee-6087-43fb-b19b-39b801aa16aa,А,0,train
114,e2a7025c02d81460bf9ae9c3b28336a6,А,0,test
115,73847b387a088e4901e4f1fb216d88eb,А,0,train
116,582ef0677662c25c263a0e923e9a43eb,А,0,train
117,f4b20d79509473b1c185f20626154d92,А,0,test
118,1fa7944c-fd18-4e4f-bcc2-61893121b0cd,Б,1,train
119,e8c0bab4-4c98-4b1e-8c10-f7130f2f744b,Б,1,test
120,9603023d-a2e3-449b-8f68-2e345bb5ca6e,Б,1,test
121,78650a89-9239-4c62-ab4b-491c850eeb60,Б,1,train
122,022038fa-24cd-4a99-8ae5-683ee99b3b2a,Б,1,test
123,15278242-9823-4549-bb75-e9468c603cae,Б,1,train
124,26597670-0aab-41e2-97c1-0231207bb8e4,Б,1,test
125,2a2e9760-d277-4419-a6d9-66624b39c46f,Б,1,test
126,d9171a06-bbad-4278-95b7-4e8c1b551e2d,Б,1,test
127,0d2f1657-fbc7-45a1-857c-7d068904f05f,Б,1,test
128,41c4958b-7bb4-4ba2-94b3-ac368ca172e2,Б,1,test
129,72942dc6-618a-46fe-9ef6-b52761b507f0,Б,1,train
130,90bf9809-7eb8-48fb-bdea-ff2b5c528ed2,Б,1,test
131,2e5ba730-8998-4471-bcc3-101f1846bbca,Б,1,test
132,4b198f30-90e2-45a8-84be-d6aabf81e180,Б,1,test
133,ad659c7b-1e7f-4d30-93d0-bcd619949d5d,Б,1,test
134,3c7688ae-5cfe-43b1-9784-bace12d2a5dc,Б,1,test
135,8e2ab721-0745-4dc7-a075-f45b4676c102,Б,1,train
136,f79dd4af-0498-40f0-aa20-3306da93ebed,Б,1,train
137,547df2d2-0732-4a62-aa7f-07a8ff9cc27b,Б,1,train
138,0f6679fc-f8a1-4817-b2da-d57ce4e51b5d,Б,1,train
139,c3303f88-4eee-4fc0-8d9c-7219967be238,Б,1,test
140,ba8df1ef-5e1b-4e55-87a4-a40385995a91,Б,1,val
141,555eaa37-5740-4584-8478-011a73a6200d,Б,1,train
142,130022a8-7730-4506-a290-e56254756b15,Б,1,train
143,d35da9e8-30fa-4ac5-90b8-a4287ee943a7,Б,1,train
144,05760c6a-237c-4c1d-90c2-4e4e54b7e3b8,Б,1,train
145,954434cf-aa02-4ece-853b-0590566ac4d4,Б,1,train
146,c73027c7-8998-430f-8c80-fc5422d4093a,Б,1,train
